scenario_id,requirement_id,assertion,command,environment,started_at,finished_at,exit_code,result,evidence_path,source_sha,result_sha,verification_status
LOCAL-STATIC-001,CPF-SELF-DEV-006,adm-cap,cpf final static gate: adm-cap,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-002,CPF-SELF-DEV-026,adm-commercial,cpf final static gate: adm-commercial,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-003,QA36-GAP-013,adm-consumer,cpf final static gate: adm-consumer,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-004,QA36-GAP-012,adm-generated-negative,cpf final static gate: adm-generated-negative,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-005,QA36-GAP-012,adm-generated,cpf final static gate: adm-generated,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-006,QA36-GAP-004,adm-interaction,cpf final static gate: adm-interaction,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-007,QA36-GAP-017,adm-lockfile,cpf final static gate: adm-lockfile,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-008,QA36-GAP-012,adm-openapi,cpf final static gate: adm-openapi,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-009,QA36-GAP-017,adm-primary,cpf final static gate: adm-primary,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-010,QA36-GAP-004,adm-route-operation-contract,cpf final static gate: adm-route-operation-contract,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-011,QA36-GAP-004,adm-route-source,cpf final static gate: adm-route-source,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-012,QA36-GAP-002,audit-failclosed,cpf final static gate: audit-failclosed,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
LOCAL-STATIC-013,QA36-GAP-005,batch-failclosed,cpf final static gate: batch-failclosed,sandbox-linux-static,2026-08-01T00:00:00+00:00,2026-08-01T07:19:37.753562+00:00,0,PASS,cpf-docs/evidence/20260801_01/CPF_20260801_01_LOCAL_STATIC_VERIFICATION.sanitized.json,19dd72b5978f2a3c630943c0fff05bee2d2fed34,,미검증
